of the Unleavened Bread,ܕܦܛܝܪ̈ܐ
"Furthermore, Readings of the New First (Day) of the Week",ܬܘܒ ܩܪ̈ܝܢܐ ܕܚܕ ܒܫܒܐ ܚܕܬܐ
"Furthermore, Readings of the Ascension of our Lord",ܬܘܒ ܩܪ̈ܝܢܐ ܕܣܘܠܩܗ ܕܡܪܢ܁
"Furthermore, the Readings of the First (Day) of the Week, of Pentecost",ܬܘܒ ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܦܢܛܩܘܣܛܐ.
"Furthermore, Readings of finding of the Cross",ܬܘܒ ܩܪ̈ܝܢܐ ܕܫܟܚܬܐ ܕܨܠܝܒܐ
"Furthermore, the Readings of the Finding of the Cross",ܬܘܒ ܩܪ̈ܝܢܐ ܕܫܟܚܬܐ ܕܨܠܝܒܐ
"Furthermore, Readings for the Commemoration of the Fathers",ܬܘܒ ܩܪ̈ܝܢܐ ܒܕܘܟܪܢܐ ܕܐܒ̈ܢܘܬܐ:
"Furthermore, Readings on Departed",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܠ ܥܢܝܕܐ
"Furthermore, Readings on Subdeacons",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܠ ܗ̈ܦܘܕܝܩܢܐ
Reading on Departed Children,ܩܪ̈ܝܢܐ ܕܥܠ ܛܠ̈ܝܐ ܕܥܢܕܝܢ
"Readings of the First Day of the Week, that is of the Commemoration of all Departed Believers",ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܕܒܫܒܐ ܗ̇ܘ ܕܕܘܟܪܢܐ ܕܟܠܗܘܢ ܥܢ̈ܝܕܐ ܡܗ̈ܝܡܢܐ
Readings [..],ܩܖܝܢܐ ܕ[.]ܬ[....]ܗ ܕ[...]ܢ
of the Commemoration of our Lady Mary,ܕܕܘܟܪܢܗ ܕܡܪܬܝ ܡܪܝܡ
"of the First (Day) of the Week, the Second, after the Birth",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܒܬܪ ܝܠܕܐ..
Readings for the Commemoration of Mar Stephan the Martyr,ܩܪܝܢܐ ܒܕܘܟܪܢܐ ܕܡܪܝ ܐܣܛܦܢܘܣ ܣܗܕܐ..
"Readings of the First (Day) of the Week, the Fourth, after the Manifestation",ܩܪܝܢܐ ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܕܢܚܐ...-
"Reading of the greek Fathers, […] Nestorius",ܩܪܝܢܐ ܕܐܒܗ̈ܬܐ ܝܘܢ̈ܝܐܕܝܘ[...] ܘܬ[...] ܘܢܣܛܘܪܝܣ
"Reading of the First (Day) of the Week, the Fifth after the menifestation",ܩܪܝܢܐ ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܒܬܪ ܕܢܚܐ
Reading of the Syrian Teachers,ܩܪܝܢܐ ܕܡ̈ܠܦܢܐ ܣܘܪ̈ܝܝܐ:
Reading of a Person,ܩܪܝܢܐ ܕܚܕ ܦܪܨܘܦܐ:
"Reading of the First (Day) of the Week, the Seventh, after the the Rest",ܩܪܝܢܐ ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܒܬܪ ܕܢܚܐ
Reading of the Commemoration of Children of Adam,ܩܪܝܢܐ ܕܕܘܟܪܢܐ ܕܝܠܕܘ̈ܗܝ ܕܐܕܡ.
"Readings of the First (Day) of the Week, of the Beginning of the Great Passion",ܩܪܝܢܐ ܕܚܕܒܫܒܐ ܕܡܲܥܠܝ ܨܘܡܐ ܪܒܐ.
"Reading of the Second (Day) of the Week, of the First Week of the Fast",ܩܪܝܢܐ ܕܬܪܝܢܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ.
"of the Third (Day) of the Week, of the First Week of the Fast",ܕܬܠܬ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ.
"of the Fourth (Day) of the Week, of the First Week of the Fast",ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ.
"of the Fifth (Day) of the Week, of the First Week of the Fast",ܕܚܡܫܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ.
"of the Eve of Preparation, of the First Week of the Fast",ܕܥܪܘܒܬܐ ܕܫ | ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ܀
of First (Day) of the Week,ܕܚܕܒܫܒܐ [..]
"of the Eve of Preparation, the Second, of the Fast",ܕܥܪܘܒܬܐ ܕܬܪ̈ܬܝܢ ܕܨܘܡܐ:
"of the First (Day) of the Week, the Third, of the Fast",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܨܘܡܐ.
"of the Eve of Preparation, the Third, of the Fast",ܕܥܪܘܒܬܐ ܕܬܠܬ ܕܨܘܡܐ.
"of the First (Day) of the Week, the Fourth, of the Fast",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܨܘܡܐ.
"of the Second (Day) of the Week, of the Fourth Week of the Fast",ܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܐܪܒܥ ܕܨܘ
"of the Third (Day) of the Week, of the Fourth Week of the Fast",ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕܐܪܒܥ ܕܨܘܡܐ
"of the Fourth (Day) of the Week, of the Fourth Week of the Fast",ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܐܪܒܥ ܕܨܘܡܐ.
"of the Fifth (Day) of the Week, of the Fourth Week of the Fast",ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܕܐܪܒܥ ܕܨܘܡܐ.
"of the Eve of Preparation, the Fourth, of the Fast",ܕܥܪܘܒܬܐ ܕܐܪܒܥ ܕܨܘ..
"Furthermore, Reading of the Eve of Preparation, the Fifth, of the Fast",ܬܘܒ ܩܪܝܢܐ ܕܥܪܘܒܬܐ ܕܚܡܫ ܕܨܘܡܐ.
"of the First (Day) of the Week, the Sixth, of the Fast",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܨܘܡܐ.
"of the Eve of Preparation, the Sixth, of the Fast",ܕܥܪܘܒܬܐ ܕܫܬ ܕܨܘܡܐ.
"of the Second (Day) of the Week, after the Hosannas",ܕܬܪܝܢ ܒܫܒܐ ܕܒܬܪ ܐܘܫ̈ܥܢܐ.܀
"[…] of the Third (Day) of the Week, after the Hosannas",[...] ܕܬܠܬܐ ܒܫܒܐ ܕܒܬܪ ܐܘܫ̈ܥܢܐ
"of the Fourth (Day) of the Week, after the Hosannas",ܕܐܪܒܥܐ ܒܫܒܐ ܕܒܬܪ ܐܘܫ̈ܥܢܐ.
"of the Fifth (Day) of the Week, of Pesach",ܕܚܡܫܐ ܒܫܒܐ ܕܦܨܚܐ
"of the Dawn of the Great First (Day) of the Week, of the Resurrection",ܕܡܓܗܝ ܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܐ..
"of the Second (Day) of the Week, after the Resurrection, and the Consecreation of the Church",ܕܬܪܝܢ ܒܫܒܐ ܕܒܬܪ ܩܝܡܬܐ. ܘܩܘܕܫ ܥܕܬܐ
"of the Third (Day) of the Week, after the Resurrection; and furthermore when a Bishop is ordained",ܕܬܠܬܐ ܒܫܒܐ ܕܒܬܪ ܩܝܡܬܐ. ܘܬܘܒ ܟܕ ܡܬܬܣܝܡ ܐܦܣܩܘܦܐ.
"of the Fourth (Day) of the Week, after the Resurrection",ܕܐܪܒܥܐ ܒܫܒܐ ܕܒܬܪ ܩܝܡܬܐ.
"of the Fifth (Day) of the Week, after the Resurrection; and furthermore of the Consecration of the Church",ܕܚܡܫܐ ܒܫܒܐ ܕܒܬܪ ܩܝܡܬܐ. ܘܬܘܒ ܕܩܘܕܫ ܥܕܬܐ.
"of the Eve of Preparation, of the Confessors",ܕܥܪܘܒܬܐ ܕܡܘܕ̈ܝܢܐ.
"of the First (Day) of the Week, the Second, of the Resurrection, which is the New",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܩܝܡܬܐ. ܕܗܘ̣ܝܘ ܚܕܬܐ.܀
"of the First (Day) of the Week, the Third after the Resurrection",ܕܚܕ ܒܫܒܐ ܕܬܠܬܐ ܕܒܬܪ ܩܝܡܬܐ
"of the First (Day) of the Week, the Fourth after the Resurrection",ܕܚܕ ܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܩܝܡܬܐ
"of the First (Day) of the Week, the Fifth, after the Resurrection",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܒܬܪ ܩܝܡܬܐ
"of the First (Day) of the Week, the Sixth, after the Resurrection",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܒܬܪ ܩܝܡܬܐ
of the Day of the Ascension of our Lord,ܕܝܘܡ ܣܘܠܩܗ ܕܡܪܢ..
"of the First (Day) of the Week, after the Ascension; and furthermore of the Consecration of the Church",ܕܚܕܒܫܒܐ ܕܒܬܪ ܣܘܠܩܐ ܘܬܘܒ ܕܩܘܕܫܥܕܬܐ
"Reading of the First (Day) of the Week, of Pentecost",ܩܪܝܢܐ ܕܚܕܒܫܒܐ ܕܦܢܛܩܘܣܛܐ.
"of the Eve of Preparation, of gold",ܕܥܪܘܒܬܐ ܕܕܗܒܐ.
"of the First (Day) of the Week, the Second, of the period of the Apostles",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܫܒܘܥܐ ܕܫܠܝ̈ܚܐ
"of the First (Day) of the Week, the Third, of the period of the Apostles",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܫܒܘܥܐ ܕܫܠܝ̈ܚܐ:
"of the First (Day) of the Week, the Fourth, of the period of the Apostles",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܫܒܘܥܐ ܕܫܠܝ̈ܚܐ:
"of the First (Day) of the Week, the Fifth, of the period of the Apostles",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܫܒܘܥܐ ܕܫܠܝ̈ܚܐ:
"of the First (Day) of the Week, the Sixth of the Fast of the Apostles",ܕܚܕܒܫ ܕܫܬܐ ܕܨܘܡܐ ܕܫܠܝ̈ܚܐ:
"of the First (Day) of the Week, the Seventh, of the Fast of the Apostles",ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܨܘܡܐ ܕܫܠܝ̈ܚܐ:
"of the Eve of Preparation, of the end of the period of the Apostles",ܕܥܪܘܒܬܐ ܕܫܘܠܡ ܫܒܘܥܐ ܕܫܠܝ̈ܚܐ.
"of the First (Day) of the Week, of the end of the period of the Apostles",ܕܚܕܒܫܒܐ ܕܫܘܠܡ ܫܒܘܥܐ ܕܫܠܝ̈ܚܐ
"of the First (Day) of the Week, the Second, of the period of the Apostles",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܒܬܪ ܫܒܘܥܐ ܕܫܠܝ̈ܚܐ
"of the First (Day) of the Week, the Third, after the Fast of the Apostles",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܒܬܪ ܨܘܡܐ ܕܫܠܝ̈ܚܐ.
"of the First (Day) of the Week, the Fourth after the Fast of the Apostles",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܨܘܡܐ ܕܫܠܝ̈ܚܐ
"of the First (Day) of the Week, the Fifth, after the Fast of the Apostles",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܒܬܪ ܨܘܡܐ ܕܫܠܝ̈ܚܐ
"of the First (Day) of the Week, the Sixth of the Fast of the Apostles",ܕܚܕ ܒܫܒܐ ܕܫܬܐ ܨܘܡܐ ܕܫܠܝ̈ܚܐ
"of the First (Day) of the Week, the Seventh, of the Fast of the Apostles",ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܨܘܡܐ ܕܫܠܝ̈ܚܐ
"of the First (Day) of the Week, the Eighth, which is the Beginning of the Fast of Mar Elijah",ܕܚܕ ܒܫܒܐ ܕܬܡܢܝܐ. ܕܐܝܬܘܗܝ ܡܥܠܝ ܨܘܡܐ ܕܡܪܝ ܐܠܝܐ:
"of the First (Day) of the Week, the Second, of the Fast of Elijah",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܨܘܡܐ ܕܐܠܝܐ.
"of the First (Day) of the Week, the Third, of the Fast of Elijah",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܨܘܡܐ ܕܐܠܝܐ.
of the Feast of the Finding of the Holy Cross,ܕܥܐܕܐ ܕܫܟܚܬܗ ܕܨܠܝܒܐ ܩܕܝܫܐ.
"Furthermore, of the Consecration of the Church",ܬܘܒ ܩܪܝܢܐ ܕܝܘܡܐ ܕܒܬܪܗ ܕܥܐܕܐ.
"of the First (Day) of the Week, after the Finding",ܕܚܕܒܫܒܐ ܕܒܬܪ ܫܟܚܬܐ.
"of the First (Day) of the Week, the Second,  after the Finding",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܒܬܪ ܫܟܚܬܐ.
"of the First (Day) of the Week, the Third, after the Finding",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܒܬܪ ܫܟܚܬܐ.
"of the First (Day) of the Week, the Fourth after the Finding",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܫܟܚܬܐ.
"of the First (Day) of the Week, the Fifth, after the Finding",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܒܬܪ ܫܟܚ(!)
"of the First (Day) of the Week, the Sixth, after the Finding",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܒܬܪ ܫܟܚܬܐ.
"of the First (Day) of the Week, the Seventh, after the Finding",ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܒܬܪ ܫܟܚܬܐ
"of the First (Day) of the Week, the Eighth, after the Finding",ܕܚܕܒܫܒܐ ܕܬܡܢܝܐ ܕܒܬܪ ܫܟܚܬܐ
"of the First (Day) of the Week, of the ninth, after the Finding",ܕܚܕܒܫ ܕܬܫܥܐ ܕܒܬܪ ܫܟܚܬܐ
"Furthermore, a Reading when it is a leap-year and the Annunciation is left over, and Readings are insufficient",ܬܘܒ ܩܪܝܢܐ ܕܟܕ ܗ̇ܘܝܐ ܫܢܬܐ ܟܒܝܫܬܐ ܘܒܫܬܘܚܪ ܣܘܒܪܐ ܘ ܚ݃ܣܪܝܢ ܩܪ̈ܝܢܐ܆
"of the First (Day) of the Week, the First, of the Consecration of the Church",ܕܚܕܒܫܒܐ ܩܕܡܝܐ ܕܩܘܕܫܥܕܬܐ.
"of the First (Day) of the Week, the Second, of the Consecration of the Church",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܩܘܕܫܥܕܬܐ.
"of the First (Day) of the Week, the Third, of Consecration of the Church",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܩܘܕܫܥܕܬܐ
for the Commemoration of Mar Giwargis the Martyr,ܒܕܘܟܪܢܐ ܕܡܪܝ ܓܝܘܪܓܝܣ ܣܗܕܐ.
Reading of the Scarcity of Rain,ܩܪܝܢܐ ܕܒܨܝܪܘܬ ܡܛܪܐ.
"Reading of the Rogation, when there is an Earthquake or famine",ܩܪܝܢܐ ܕܒܥܘܬܐ ܟܕ ܗ̇ܘܐ ܙܘܥܐ ܘܟܦܢܐ.
Reading on all the Sons of the convenant,ܩܪܝܢܐ ܕܥܠ ܟܠܗܘܢ ܒܢ̈ܝ ܩܝܡܐ..
Reading on Believers,ܩܪܝܢܐ ܕܥܠ ܡܗܝܡ̈ܢܐ.
Reading on Holy Bishops,ܩܪܝܢܐ ܕܥܠ ܐܦܝܣܩ̈ܘܦܐ ܘܩܫܝ̈ܫܐ
"Furthermore, of the Rogation",ܬܘܒ ܕܒܥܘܬܐ..
"Furthermore, what is read in Rogation",ܬܘܒ ܕܡܬܩܪܐ ܒܒܥܘܬܐ.
"Furthermore, on Presbyters, Deacons, and Bishops",ܬܘܒ ܕܥܠ ܩܫܝܫܐ ܘܡܫܡܫ̈ܢܐ ܘܐܦܣܩܘ̈ܦܐ
of the Reception of the Bishops,ܕܩܘܒܠܐ ܕܐܦܣ̈ܩܘܦܐ
"Readings of the First Day of the Week, the Sixth, of the Fast",ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܕܒܫܒܐ ܕܫ̈ܬܐ ܕܨܘܡܐ܀
"Readings of the Morning of the Sabbath of the Gospel, First",ܩܪ̈ܝܢܐ ܕܨܦܪܐ ܕܫܒܬܐ ܕܣܒܪܬܐ ܏ܩܕ
"Furthermore, the Order of Readings of the Holy Feast of the Manifestation",ܬܘܒ ܛܟܣܐ ܕ܏ܩܪ̈ ܕܥܐܕܐ ܩܕܝܫܐ ܕܕܢܚܐ
"Furthermore, the Readings of the Consecration of Water",ܬܘܒ ܩܪ̈ܝܢܐ ܕܩܘܕܫ ܡ̈ܝܐ-.-
"the Fourth Day in the Week, of the Week of Cheese",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ. ܕܫܒܬܐ ܕܓܒܬܐ.
In the very Evening of the Fourth Day of the Week,ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡܐ ܕܐܪܒܥܐ ܒܫܒܐ
"the Day of the Eve of Preparation, of Cheese, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕܓܒܬܐ ܒܨܦܪܐ
"in the very Evening, of the Day of the Eve of Preparation, of Cheese",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡ ܥܪܘܒܬܐ ܕܓܒܬܐ
"the Second Day of the Week, of the Fast, in the Morning",ܝܘܡ ܬܪܝܢ ܒܫܒܐ ܕܨܘܡܐ ܒܨܦܪܐ
"In the very Evening of the Second Day of the Week, of the First Week of the Fast",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ
"the Third Day of the Week, of the First Week of the Fast, in the Morning",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܒܨܦܪܐ
"the Fourth Day of the Week, of the First Week of the Fast, in the Morning",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܒܨܦܪܐ:
"In the very Evening of the Fourth Day of the Week, of the 1st Week of the Fast",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡܐ ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܏ܩܕ ܕܨܘܡܐ
"the Fifth Day of the Week, in the 1st Week, in the Morning",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܏ܒܫܒ : ܏ܐ : ܒܨܦܪܐ
"the Fifth Day of the Week, in the Evening",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܒܪܡܫܐ.
"the Day of the Eve of Preparation, of the 1st Week, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ : ܐ ܒܨܦܪܐ.
"the Day of the Eve of Preparation, of the 1st Week, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ : ܏ܐ : ܒܪܡܫܐ.
"the Second Day of the Week, of the Second Week of the Fast, in the Morning",ܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܬܪ̈ܬܝܢ ܕܨܘܡܐ ܦܨܦܪܐ(!)
"In the very Evening of the 2nd Day of the Week, of the 2nd Week",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡܐ ܕ܏ܒ ܒܫܒܐ ܕ܏ܫܒ . ܕ܏ܒ :
"the Third Day of the Week, of the 2nd Week of the Fast, in the Morning",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕ܏ܒ ܕܨܘܡܐ ܒܨܦܪܐ
"the 3rd Day of the Week, of the 2nd Week, of the Fast, in the Evening",ܝܘܡ : ܏ܓ : ܒܫܒܐ ܕ܏ܫ ܕ܏ܒ : ܕܨܘܡܐ ܒܪܡܫܐ
"the 3rd Day of the Week, of the 2nd Week of the Fast, in the Evening",ܝܘܡ : ܏ܓ : ܒܫܒܐ ܕ܏ܫ ܕ܏ܒ : ܕܨܘܡܐ ܒܪܡܫܐ
"the Fourth Day of the Week, of the 2nd Week of the Fast, in the Morning",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ: ܕ܏ܒ : ܕܨܘܡܐ ܒܨܦܪܐ.
"the Fourth Day of the Week, in the 2nd Week, of the Fast",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ. ܒ܏ܫܒ ܕ܏ܒ. ܕܨܘܡܐ.
"the Day of the Eve of Preparation, of the Second Week of the Fast in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕܫܒܬܐ ܕܬܪ̈ܬܝܢ ܕܨܘܡܐ. ܒܨܦܪܐ.
"the Day of the Eve of Preparation, of the 2nd Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܕ܏ܒ: ܕܨܘܡܐ ܒܪܡܫܐ
"the Second Day of the Week of the 3rd Week of the Fast, in the Morning",ܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ. ܕ܏ܓ: ܕܨܘܡܐ. ܒܨܦܪܐ
"the Second Day of the Week, of the 3rd Week, in the Evening",ܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕ܏ܓ ܒܪܡܫܐ
"the Third Day of the Week, of the 3rd Week of the Fast, in the Morning",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ. ܏ܓ. ܕܨܘܡܐ ܒܨܦܪܐ.
"the Third Day of the Week, of the 3rd Week, in the Evening",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕ܏ܓ ܒܪܡܫܐ
"the Fourth Day of the Week, of the 3rd Week, of the Fast, in the Evening",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕ܏ܓ ܕܨܘܡܐ ܒܨܦܪܐ
"the Fourth Day of the Week, of the 3rd Week, of the Fast, in the Evening",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܕ܏ܫܒ. ܕ܏ܓ: ܕܨܘܡܐ ܒܪܡܫܐ
"the Fifth Day of the Week, of the 3rd Week of the Fast, in the Morning",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ. ܕ܏ܓ ܕܨܘܡܐ ܒܨܦܪܐ
"the Fifth Day of the Week, of the 3rd Week, in the Evening",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܕ܏ܫܒ ܕܓ ܒܪܡܫܐ.
"the Day of the Eve of Preparation, of the 3rd Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ. ܕ܏ܓ: ܕܨܘܡܐ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 3rd Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܕ܏ܓ ܕܨܘܡܐ ܒܪܡܫܐ
"the Second Day of the Week, of the Fourth Week of the Fast, in the Morning",ܝܘܡ ܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܐܪ̈ܒܥ ܕܨܘܡܐ ܒܨܦܪܐ.
"the Second Day of the Week, of the 4th Week, of the Fast, in the Evening",ܝܘܡ ܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ . ܏ܕ . ܕܨܘܡܐ ܒܪܡܫܐ
"the Third Day of the Week, of the Fourth Week of the Fast, in the Morning",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕܐܪܒܥ ܕܨܘܡܐ ܒܨܦܪܐ
"the 3rd Day of the Week, of the Fourth Week, of the Fast, in the Evening",ܝܘܡ ܏ܓ: ܒܫܒܐ ܕ܏ܫܒ ܕܐܪ̈ܒܥ ܕܨܘܡܐ ܒܪܡܫܐ
"the Fourth Day of the Week, of the Fourth Week of the Fast, in the Morning",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܒܫܒܬܐ ܕܐܪ̈ܒܥ ܕܨܘܡܐ ܒܨܦܪܐ.
"the Fourth Day of the Week, the Middle of the Fast, in the Evening",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܕܦܠܓܗ ܕܨܘܡܐ ܒܪܡܫܐ
"the Fifth Day of the Week, of the Fourth Week of the Fast, in the Morning",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܕܐܪ̈ܒܥ ܕܨܘܡܐ ܒܨܦܪܐ
"the Fifth Day of the Week, of the Fourth Week, of the Fast, in the Evening",ܝܘܡ ܚܡܫܐ ܒ܏ܫܒ ܕܫܒܬܐ ܕܐܪ̈ܒܥ ܕܨܘܡܐ ܒܪܡܫܐ
"the Day of the Eve of Preparation, in the Fourth Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܒ܏ܫܒ ܕܐܪܒܥ ܕܨܘܡܐ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 4th Week, in the Evening",ܝܘܡ ܥܪܘܒ܏ܬ ܕ܏ܫܒ ܬܐ ܏ܕ ܒܪܡܫܐ
"the Second Day of the Week, of the Fifth Week of the Fast, in the Morning",ܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܚܡ̈ܫ ܕܨܘܡܐ ܒܨܦܪܐ
"the Second Day of the Week, of the Fifth Week, in the Evening",ܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܚ̈ܡܫ ܒܪܡܫܐ
"the Third Day of the Week, of the 5th Week of the Fast, in the Morning",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܕ܏ܗ ܕ܏ܨܘܡ ܒܨܦܪܐ
"the Third Day of the Week, of the Fifth Week of the Fast, in the Evening",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܒܫܒܬܐ ܕܚ̈ܡܫ ܕܨܘܡܐ ܒܪܡܫܐ
"the Fourth Day of the Week, of the Fifth Week, of the Fast",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܒܫܒܬܐ ܕܚܡܫ ܕ܏ܨܘܡ
"the Fourth Day of the Week, of the Fifth Week, of the Fast, in the Evening",ܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܕܚܡܫ ܕܨܘܡܐ ܒܪܡܫܐ
"the Fifth Day of the Week, of the Fifth Week of the Fast, in the Morning",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܕܚܡܫ ܕܨܘܡܐ ܒܨܦܪܐ
"the Fifth Day of the Week, of the Fifth Week of the Fast, in the Evening",ܝܘܡ ܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܕܚܡܫ ܕܨܘܡܐ ܒܪܡܫܐ
"the Day of the Eve of Preparation, of the Fifth Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕܫܒܬܐ ܕܚܡܫ ܕܨܘܡܐ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the Fifth Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕܫܒܬܐ ܕܚܡܫ ܕܨܘܡܐ ܒܪܡܫܐ
"the Second Day of the Week, of the Sixth Week of the Fast, in the Morning",ܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܫܒܬܐ ܕܫܬ ܕܨܘܡܐ ܒܨܦܪܐ
