"The book of the genealogy of Jesus Christ , the son of David, the son of Abraham.",ܟܬܒܐ ܕܝܠܝܕܘܬܗ ܕܝܫܘܥ ܡܫܝܚܐ ܒܪܗ ܕܕܘܝܕ ܒܪܗ ܕܐܒܪܗܡ
"""Don't let your heart be troubled. Believe in God. Believe also in me.",ܠܐ ܢܬܕܘܕ ܠܒܟܘܢ ܗܝܡܢܘ ܒܐܠܗܐ ܘܒܝ ܗܝܡܢܘ
"In my Father's house are many homes. If it weren't so, I would have told you. I am going to prepare a place for you.",ܤܓܝܐܝܢ ܐܢܘܢ ܐܘܢܐ ܒܝܬ ܐܒܝ ܘܐܠܐ ܐܡܪ ܗܘܝܬ ܠܟܘܢ ܕܐܙܠ ܐܢܐ ܕܐܛܝܒ ܠܟܘܢ ܐܬܪܐ
"If I go and prepare a place for you, I will come again, and will receive you to myself; that where I am, you may be there also.",ܘܐܢ ܐܙܠ ܐܛܝܒ ܠܟܘܢ ܐܬܪܐ ܬܘܒ ܐܬܐ ܘܐܕܒܪܟܘܢ ܠܘܬܝ ܕܐܝܟܐ ܕܐܢܐ ܐܝܬܝ ܐܦ ܐܢܬܘܢ ܬܗܘܘܢ
"Where I go, you know, and you know the way.""",ܘܠܐܝܟܐ ܕܐܙܠ ܐܢܐ ܝܕܥܝܢ ܐܢܬܘܢ ܘܐܘܪܚܐ ܝܕܥܝܢ ܐܢܬܘܢ
"Thomas said to him, ""Lord, we don't know where you are going. How can we know the way?""",ܐܡܪ ܠܗ ܬܐܘܡܐ ܡܪܢ ܠܐ ܝܕܥܝܢܢ ܠܐܝܟܐ ܐܙܠ ܐܢܬ ܘܐܝܟܢܐ ܡܫܟܚܝܢ ܚܢܢ ܐܘܪܚܐ ܠܡܕܥ
"Jesus said to him, ""I am the way, the truth, and the life. No one comes to the Father, except through me.",ܐܡܪ ܠܗ ܝܫܘܥ ܐܢܐ ܐܢܐ ܐܘܪܚܐ ܘܫܪܪܐ ܘܚܝܐ ܠܐ ܐܢܫ ܐܬܐ ܠܘܬ ܐܒܝ ܐܠܐ ܐܢ ܒܝ
"If you had known me, you would have known my Father also. From now on, you know him, and have seen him.""",ܐܠܘ ܠܝ ܝܕܥܝܢ ܗܘܝܬܘܢ ܐܦ ܠܐܒܝ ܝܕܥܝܢ ܗܘܝܬܘܢ ܘܡܢ ܗܫܐ ܝܕܥܝܢ ܐܢܬܘܢ ܠܗ ܘܚܙܝܬܘܢܝܗܝ
"Philip said to him, ""Lord, show us the Father, and that will be enough for us.""",ܐܡܪ ܠܗ ܦܝܠܝܦܘܤ ܡܪܢ ܚܘܢ ܐܒܐ ܘܟܕܘ ܠܢ
"Jesus said to him, ""Have I been with you such a long time, and do you not know me, Philip? He who has seen me has seen the Father. How do you say, 'Show us the Father?'",ܐܡܪ ܠܗ ܝܫܘܥ ܗܢܐ ܟܠܗ ܙܒܢܐ ܥܡܟܘܢ ܐܢܐ ܘܠܐ ܝܕܥܬܢܝ ܦܝܠܝܦܐ ܡܢ ܕܠܝ ܚܙܐ ܚܙܐ ܠܐܒܐ ܘܐܝܟܢܐ ܐܢܬ ܐܡܪ ܐܢܬ ܚܘܢ ܐܒܐ
"Don't you believe that I am in the Father, and the Father in me? The words that I tell you, I speak not from myself; but the Father who lives in me does his works.",ܠܐ ܡܗܝܡܢ ܐܢܬ ܕܐܢܐ ܒܐܒܝ ܘܐܒܝ ܒܝ ܡܠܐ ܐܝܠܝܢ ܕܐܢܐ ܡܡܠܠ ܐܢܐ ܡܢ ܢܦܫܝ ܠܐ ܡܡܠܠ ܐܢܐ ܐܒܝ ܕܝܢ ܕܒܝ ܥܡܪ ܗܘ ܥܒܕ ܥܒܕܐ ܗܠܝܢ
"Believe me that I am in the Father, and the Father in me; or else believe me for the very works' sake.",ܗܝܡܢܘ ܕܐܢܐ ܒܐܒܝ ܘܐܒܝ ܒܝ ܘܐܠܐ ܐܦܢ ܡܛܠ ܥܒܕܐ ܗܝܡܢܘ
"Most certainly I tell you, he who believes in me, the works that I do, he will do also; and he will do greater works than these, because I am going to my Father.",ܐܡܝܢ ܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܡܢ ܕܡܗܝܡܢ ܒܝ ܥܒܕܐ ܐܝܠܝܢ ܕܐܢܐ ܥܒܕ ܐܢܐ ܐܦ ܗܘ ܢܥܒܕ ܘܕܝܬܝܪܝܢ ܡܢ ܗܠܝܢ ܢܥܒܕ ܕܐܢܐ ܠܘܬ ܐܒܐ ܐܙܠ ܐܢܐ
"Whatever you will ask in my name, that will I do, that the Father may be glorified in the Son.",ܘܡܕܡ ܕܬܫܐܠܘܢ ܒܫܡܝ ܐܥܒܕ ܠܟܘܢ ܕܢܫܬܒܚ ܐܒܐ ܒܒܪܗ
"If you will ask anything in my name, I will do it.",ܘܐܢ ܬܫܐܠܘܢܢܝ ܒܫܡܝ ܐܢܐ ܥܒܕܢܐ
"If you love me, keep my commandments.",ܐܢ ܪܚܡܝܢ ܐܢܬܘܢ ܠܝ ܦܘܩܕܢܝ ܛܪܘ
"I will pray to the Father, and he will give you another Counselor, that he may be with you forever,--",ܘܐܢܐ ܐܒܥܐ ܡܢ ܐܒܝ ܘܐܚܪܢܐ ܦܪܩܠܛܐ ܢܬܠ ܠܟܘܢ ܕܢܗܘܐ ܥܡܟܘܢ ܠܥܠܡ
"the Spirit of truth, whom the world can't receive; for it doesn't see him, neither knows him. You know him, for he lives with you, and will be in you.",ܪܘܚܐ ܕܫܪܪܐ ܗܘ ܕܥܠܡܐ ܠܐ ܡܫܟܚ ܠܡܩܒܠܘܬܗ ܡܛܠ ܕܠܐ ܚܙܝܗܝ ܘܠܐ ܝܕܥܗ ܐܢܬܘܢ ܕܝܢ ܝܕܥܝܢ ܐܢܬܘܢ ܠܗ ܕܠܘܬܟܘܢ ܥܡܪ ܘܒܟܘܢ ܗܘ
I will not leave you orphans. I will come to you.,ܠܐ ܫܒܩ ܐܢܐ ܠܟܘܢ ܝܬܡܐ ܐܬܐ ܐܢܐ ܓܝܪ ܠܘܬܟܘܢ ܩܠܝܠ ܐܚܪܝܢ
"Yet a little while, and the world will see me no more; but you will see me. Because I live, you will live also.",ܘܥܠܡܐ ܠܐ ܚܙܐ ܠܝ ܐܢܬܘܢ ܕܝܢ ܬܚܙܘܢܢܝ ܕܐܢܐ ܚܝ ܐܦ ܐܢܬܘܢ ܬܚܘܢ
"In that day you will know that I am in my Father, and you in me, and I in you.",ܒܗܘ ܝܘܡܐ ܬܕܥܘܢ ܕܐܢܐ ܒܐܒܝ ܘܐܢܬܘܢ ܒܝ ܐܢܬܘܢ ܘܐܢܐ ܒܟܘܢ ܐܢܐ
"One who has my commandments, and keeps them, that person is one who loves me. One who loves me will be loved by my Father, and I will love him, and will reveal myself to him.""",ܡܢ ܕܐܝܬ ܠܘܬܗ ܦܘܩܕܢܝ ܘܢܛܪ ܠܗܘܢ ܗܘ ܗܘ ܡܚܒ ܠܝ ܗܘ ܕܝܢ ܕܪܚܡ ܠܝ ܢܬܪܚܡ ܡܢ ܐܒܝ ܘܐܢܐ ܐܪܚܡܝܘܗܝ ܘܐܚܘܝܘܗܝ ܢܦܫܝ
"Judas (not Iscariot) said to him, ""Lord, what has happened that you are about to reveal yourself to us, and not to the world?""",ܐܡܪ ܠܗ ܝܗܘܕܐ ܠܐ ܗܘܐ ܤܟܪܝܘܛܐ ܡܪܝ ܡܢܘ ܠܢ ܥܬܝܕ ܐܢܬ ܠܡܚܘܝܘ ܢܦܫܟ ܘܠܐ ܗܘܐ ܠܥܠܡܐ
"Jesus answered him, ""If a man loves me, he will keep my word. My Father will love him, and we will come to him, and make our home with him.",ܥܢܐ ܝܫܘܥ ܘܐܡܪ ܠܗ ܡܢ ܕܪܚܡ ܠܝ ܡܠܬܝ ܢܛܪ ܘܐܒܝ ܢܪܚܡܝܘܗܝ ܘܠܘܬܗ ܐܬܝܢ ܚܢܢ ܘܐܘܢܐ ܠܘܬܗ ܥܒܕܝܢ ܚܢܢ
"He who doesn't love me doesn't keep my words. The word which you hear isn't mine, but the Father's who sent me.",ܗܘ ܕܝܢ ܕܠܐ ܪܚܡ ܠܝ ܡܠܬܝ ܠܐ ܢܛܪ ܘܡܠܬܐ ܗܕܐ ܕܫܡܥܝܢ ܐܢܬܘܢ ܠܐ ܗܘܬ ܕܝܠܝ ܐܠܐ ܕܐܒܐ ܕܫܕܪܢܝ
"I have said these things to you, while still living with you.",ܗܠܝܢ ܡܠܠܬ ܥܡܟܘܢ ܟܕ ܠܘܬܟܘܢ ܐܝܬܝ
"But the Counselor, the Holy Spirit, whom the Father will send in my name, he will teach you all things, and will remind you of all that I said to you.",ܗܘ ܕܝܢ ܦܪܩܠܛܐ ܪܘܚܐ ܕܩܘܕܫܐ ܗܘ ܕܡܫܕܪ ܐܒܝ ܒܫܡܝ ܗܘ ܢܠܦܟܘܢ ܟܠܡܕܡ ܘܗܘ ܢܥܗܕܟܘܢ ܟܠ ܡܐ ܕܐܡܪ ܐܢܐ ܠܟܘܢ
"Peace I leave with you. My peace I give to you; not as the world gives, give I to you. Don't let your heart be troubled, neither let it be fearful.",ܫܠܡܐ ܫܒܩ ܐܢܐ ܠܟܘܢ ܫܠܡܐ ܕܝܠܝ ܝܗܒ ܐܢܐ ܠܟܘܢ ܠܐ ܗܘܐ ܐܝܟܢܐ ܕܝܗܒ ܥܠܡܐ ܐܢܐ ܝܗܒ ܐܢܐ ܠܟܘܢ ܠܐ ܢܬܕܘܕ ܠܒܟܘܢ ܘܠܐ ܢܕܚܠ
"You heard how I told you, 'I go away, and I come to you.' If you loved me, you would have rejoiced, because I said 'I am going to my Father;' for the Father is greater than I.",ܫܡܥܬܘܢ ܕܐܢܐ ܐܡܪܬ ܠܟܘܢ ܕܐܙܠ ܐܢܐ ܘܐܬܐ ܐܢܐ ܠܘܬܟܘܢ ܐܠܘ ܪܚܡܝܢ ܗܘܝܬܘܢ ܠܝ ܚܕܝܢ ܗܘܝܬܘܢ ܕܐܙܠ ܐܢܐ ܠܘܬ ܐܒܝ ܕܐܒܝ ܪܒ ܗܘ ܡܢܝ
"Now I have told you before it happens so that, when it happens, you may believe.",ܘܗܫܐ ܗܐ ܐܡܪܬ ܠܟܘܢ ܥܕܠܐ ܢܗܘܐ ܕܡܐ ܕܗܘܐ ܬܗܝܡܢܘܢ
"I will no more speak much with you, for the prince of the world comes, and he has nothing in me.",ܡܟܝܠ ܠܐ ܐܡܠܠ ܥܡܟܘܢ ܤܓܝܐܬܐ ܐܬܐ ܓܝܪ ܐܪܟܘܢܗ ܕܥܠܡܐ ܘܒܝ ܠܝܬ ܠܗ ܡܕܡ
"But that the world may know that I love the Father, and as the Father commanded me, even so I do. Arise, let us go from here.",ܐܠܐ ܕܢܕܥ ܥܠܡܐ ܕܪܚܡ ܐܢܐ ܠܐܒܝ ܘܐܝܟܢܐ ܕܦܩܕܢܝ ܐܒܝ ܗܟܘܬ ܥܒܕ ܐܢܐ ܩܘܡܘ ܢܐܙܠ ܡܟܐ
"""I am the true vine, and my Father is the farmer.",ܐܢܐ ܐܢܐ ܓܦܬܐ ܕܫܪܪܐ ܘܐܒܝ ܗܘ ܦܠܚܐ
"Every branch in me that doesn't bear fruit, he takes away. Every branch that bears fruit, he prunes, that it may bear more fruit.",ܟܠ ܫܒܫܬܐ ܕܒܝ ܦܐܪܐ ܠܐ ܝܗܒܐ ܫܩܠ ܠܗ ܘܐܝܕܐ ܕܝܗܒܐ ܦܐܪܐ ܡܕܟܐ ܠܗ ܕܦܐܪܐ ܤܓܝܐܐ ܬܝܬܐ
You are already pruned clean because of the word which I have spoken to you.,ܐܢܬܘܢ ܡܢ ܟܕܘ ܕܟܝܢ ܐܢܬܘܢ ܡܛܠ ܡܠܬܐ ܕܡܠܠܬ ܥܡܟܘܢ
"Remain in me, and I in you. As the branch can't bear fruit by itself, unless it remains in the vine, so neither can you, unless you remain in me.",ܩܘܘ ܒܝ ܘܐܢܐ ܒܟܘܢ ܐܝܟܢܐ ܕܫܒܫܬܐ ܠܐ ܡܫܟܚܐ ܕܬܬܠ ܦܐܪܐ ܡܢ ܢܦܫܗ ܐܠܐ ܡܩܘܝܐ ܒܓܦܬܐ ܗܟܢܐ ܐܦ ܠܐ ܐܢܬܘܢ ܐܠܐ ܬܩܘܘܢ ܒܝ
"I am the vine. You are the branches. He who remains in me, and I in him, the same bears much fruit, for apart from me you can do nothing.",ܐܢܐ ܐܢܐ ܓܦܬܐ ܘܐܢܬܘܢ ܫܒܫܬܐ ܡܢ ܕܡܩܘܐ ܒܝ ܘܐܢܐ ܒܗ ܗܢܐ ܡܝܬܐ ܦܐܪܐ ܤܓܝܐܐ ܡܛܠ ܕܕܠܐ ܐܢܐ ܠܐ ܡܫܟܚܝܢ ܐܢܬܘܢ ܠܡܥܒܕ ܡܕܡ
"If a man doesn't remain in me, he is thrown out as a branch, and is withered; and they gather them, throw them into the fire, and they are burned.",ܐܠܐ ܕܝܢ ܐܢܫ ܡܩܘܐ ܒܝ ܡܫܬܕܐ ܠܒܪ ܐܝܟ ܫܒܫܬܐ ܕܝܒܫܐ ܘܠܩܛܝܢ ܪܡܝܢ ܠܗ ܒܢܘܪܐ ܕܬܐܩܕ
"If you remain in me, and my words remain in you, you will ask whatever you desire, and it will be done for you.",ܐܢ ܕܝܢ ܬܩܘܘܢ ܒܝ ܘܡܠܝ ܢܩܘܝܢ ܒܟܘܢ ܟܠ ܡܐ ܕܬܨܒܘܢ ܠܡܫܐܠ ܢܗܘܐ ܠܟܘܢ
"""In this is my Father glorified, that you bear much fruit; and so you will be my disciples.",ܒܗܕܐ ܡܫܬܒܚ ܐܒܐ ܕܦܐܪܐ ܤܓܝܐܐ ܬܝܬܘܢ ܘܬܗܘܘܢ ܬܠܡܝܕܝ
"Even as the Father has loved me, I also have loved you. Remain in my love.",ܐܝܟܢܐ ܕܐܚܒܢܝ ܐܒܝ ܐܦ ܐܢܐ ܐܚܒܬܟܘܢ ܩܘܘ ܒܪܚܡܬܝ ܕܝܠܝ
"If you keep my commandments, you will remain in my love; even as I have kept my Father's commandments, and remain in his love.",ܐܢ ܦܘܩܕܢܝ ܬܛܪܘܢ ܬܩܘܘܢ ܒܚܘܒܐ ܕܝܠܝ ܐܝܟܢܐ ܕܐܢܐ ܢܛܪܬ ܦܘܩܕܢܘܗܝ ܕܐܒܝ ܘܡܩܘܐ ܐܢܐ ܒܚܘܒܗ
"I have spoken these things to you, that my joy may remain in you, and that your joy may be made full.",ܗܠܝܢ ܡܠܠܬ ܥܡܟܘܢ ܕܚܕܘܬܝ ܬܗܘܐ ܒܟܘܢ ܘܬܫܬܡܠܐ ܚܕܘܬܟܘܢ
"""This is my commandment, that you love one another, even as I have loved you.",ܗܢܘ ܦܘܩܕܢܝ ܕܬܚܒܘܢ ܚܕ ܠܚܕ ܐܝܟܢܐ ܕܐܢܐ ܐܚܒܬܟܘܢ
"Greater love has no one than this, that someone lay down his life for his friends.",ܚܘܒܐ ܕܪܒ ܡܢ ܗܢܐ ܠܝܬ ܕܐܢܫ ܢܦܫܗ ܢܤܝܡ ܚܠܦ ܪܚܡܘܗܝ
"You are my friends, if you do whatever I command you.",ܐܢܬܘܢ ܪܚܡܝ ܐܢܬܘܢ ܐܢ ܬܥܒܕܘܢ ܟܠ ܕܡܦܩܕ ܐܢܐ ܠܟܘܢ
"No longer do I call you servants, for the servant doesn't know what his lord does. But I have called you friends, for everything that I heard from my Father, I have made known to you.",ܠܐ ܡܟܝܠ ܩܪܐ ܐܢܐ ܠܟܘܢ ܥܒܕܐ ܡܛܠ ܕܥܒܕܐ ܠܐ ܝܕܥ ܡܢܐ ܥܒܕ ܡܪܗ ܪܚܡܝ ܕܝܢ ܩܪܝܬܟܘܢ ܡܛܠ ܕܟܠ ܕܫܡܥܬ ܡܢ ܐܒܝ ܐܘܕܥܬܟܘܢ
"You didn't choose me, but I chose you, and appointed you, that you should go and bear fruit, and that your fruit should remain; that whatever you will ask of the Father in my name, he may give it to you.",ܠܐ ܗܘܐ ܐܢܬܘܢ ܓܒܝܬܘܢܢܝ ܐܠܐ ܐܢܐ ܗܘ ܓܒܝܬܟܘܢ ܘܤܡܬܟܘܢ ܕܐܦ ܐܢܬܘܢ ܬܐܙܠܘܢ ܬܝܬܘܢ ܦܐܪܐ ܘܦܐܪܝܟܘܢ ܢܩܘܘܢ ܕܟܠ ܕܬܫܐܠܘܢ ܠܐܒܝ ܒܫܡܝ ܢܬܠ ܠܟܘܢ
"""I command these things to you, that you may love one another.",ܗܠܝܢ ܡܦܩܕ ܐܢܐ ܠܟܘܢ ܕܬܚܒܘܢ ܚܕ ܠܚܕ
"If the world hates you, you know that it has hated me before it hated you.",ܘܐܢ ܥܠܡܐ ܤܢܐ ܠܟܘܢ ܕܥܘ ܕܩܕܡܝܟܘܢ ܠܝ ܤܢܐ
"If you were of the world, the world would love its own. But because you are not of the world, since I chose you out of the world, therefore the world hates you.",ܘܐܠܘ ܡܢ ܥܠܡܐ ܗܘܝܬܘܢ ܥܠܡܐ ܠܕܝܠܗ ܪܚܡ ܗܘܐ ܐܠܐ ܠܐ ܗܘܝܬܘܢ ܡܢ ܥܠܡܐ ܐܢܐ ܓܝܪ ܓܒܝܬܟܘܢ ܡܢ ܥܠܡܐ ܡܛܠ ܗܢܐ ܤܢܐ ܠܟܘܢ ܥܠܡܐ
"Remember the word that I said to you: 'A servant is not greater than his lord.' If they persecuted me, they will also persecute you. If they kept my word, they will keep yours also.",ܥܗܕܘ ܡܠܬܐ ܕܐܢܐ ܐܡܪܬ ܠܟܘܢ ܕܠܝܬ ܥܒܕܐ ܕܪܒ ܡܢ ܡܪܗ ܐܢ ܠܝ ܪܕܦܘ ܐܦ ܠܟܘܢ ܢܪܕܦܘܢ ܘܐܢ ܡܠܬܝ ܢܛܪܘ ܐܦ ܕܝܠܟܘܢ ܢܛܪܘܢ
"But all these things will they do to you for my name's sake, because they don't know him who sent me.",ܐܠܐ ܗܠܝܢ ܟܠܗܝܢ ܢܥܒܕܘܢ ܒܟܘܢ ܡܛܠ ܫܡܝ ܕܝܠܝ ܕܠܐ ܝܕܥܝܢ ܠܡܢ ܕܫܕܪܢܝ
"If I had not come and spoken to them, they would not have had sin; but now they have no excuse for their sin.",ܐܠܘ ܐܢܐ ܠܐ ܐܬܝܬ ܡܠܠܬ ܥܡܗܘܢ ܠܝܬ ܗܘܬ ܠܗܘܢ ܚܛܝܬܐ ܗܫܐ ܕܝܢ ܠܝܬ ܠܗܘܢ ܥܠܬܐ ܥܠ ܐܦܝ ܚܛܝܬܗܘܢ
"He who hates me, hates my Father also.",ܡܢ ܕܠܝ ܤܢܐ ܘܐܦ ܠܐܒܝ ܤܢܐ
"If I hadn't done among them the works which no one else did, they wouldn't have had sin. But now have they seen and also hated both me and my Father.",ܘܐܠܘ ܥܒܕܐ ܠܐ ܥܒܕܬ ܠܥܢܝܗܘܢ ܐܝܠܝܢ ܕܐܢܫ ܐܚܪܝܢ ܠܐ ܥܒܕ ܠܝܬ ܗܘܐ ܠܗܘܢ ܚܛܝܬܐ ܗܫܐ ܕܝܢ ܘܚܙܘ ܘܤܢܘ ܐܦ ܠܝ ܘܐܦ ܠܐܒܝ
"But this happened so that the word may be fulfilled which was written in their law, 'They hated me without a cause.'",ܕܬܬܡܠܐ ܡܠܬܐ ܕܟܬܝܒܐ ܒܢܡܘܤܗܘܢ ܕܤܢܐܘܢܝ ܡܓܢ
"""When the Counselor has come, whom I will send to you from the Father, the Spirit of truth, who proceeds from the Father, he will testify about me.",ܡܐ ܕܝܢ ܕܐܬܐ ܦܪܩܠܛܐ ܗܘ ܕܐܢܐ ܡܫܕܪ ܐܢܐ ܠܟܘܢ ܡܢ ܠܘܬ ܐܒܝ ܪܘܚܐ ܕܫܪܪܐ ܗܘ ܕܡܢ ܠܘܬ ܐܒܝ ܢܦܩ ܗܘ ܢܤܗܕ ܥܠܝ
"You will also testify, because you have been with me from the beginning.",ܐܦ ܐܢܬܘܢ ܤܗܕܝܢ ܐܢܬܘܢ ܕܡܢ ܫܘܪܝܐ ܥܡܝ ܐܢܬܘܢ
"""These things have I spoken to you, so that you wouldn't be caused to stumble.",ܗܠܝܢ ܡܠܠܬ ܥܡܟܘܢ ܕܠܐ ܬܬܟܫܠܘܢ
"They will put you out of the synagogues. Yes, the time comes that whoever kills you will think that he offers service to God.",ܢܦܩܘܢܟܘܢ ܓܝܪ ܡܢ ܟܢܘܫܬܗܘܢ ܘܬܐܬܐ ܫܥܬܐ ܕܟܠ ܕܢܩܛܘܠܟܘܢ ܢܤܒܪ ܕܩܘܪܒܢܐ ܡܩܪܒ ܠܐܠܗܐ
"They will do these things because they have not known the Father, nor me.",ܘܗܠܝܢ ܢܥܒܕܘܢ ܡܛܠ ܕܠܐ ܝܕܥܘ ܘܠܐ ܠܐܒܝ ܘܠܐ ܠܝ
"But I have told you these things, so that when the time comes, you may remember that I told you about them. I didn't tell you these things from the beginning, because I was with you.",ܗܠܝܢ ܡܠܠܬ ܥܡܟܘܢ ܕܡܐ ܕܐܬܐ ܥܕܢܗܝܢ ܬܥܗܕܘܢ ܐܢܝܢ ܕܐܢܐ ܐܡܪܬ ܠܟܘܢ ܗܠܝܢ ܕܝܢ ܡܢ ܩܕܝܡ ܠܐ ܐܡܪܬ ܠܟܘܢ ܕܥܡܟܘܢ ܗܘܝܬ
"But now I am going to him who sent me, and none of you asks me, 'Where are you going?'",ܗܫܐ ܕܝܢ ܐܙܠ ܐܢܐ ܠܘܬ ܡܢ ܕܫܕܪܢܝ ܘܠܐ ܐܢܫ ܡܢܟܘܢ ܡܫܐܠ ܠܝ ܠܐܝܟܐ ܐܙܠ ܐܢܬ
"But because I have told you these things, sorrow has filled your heart.",ܐܡܪܬ ܠܟܘܢ ܓܝܪ ܗܠܝܢ ܘܐܬܬ ܟܪܝܘܬܐ ܘܡܠܬ ܠܒܘܬܟܘܢ
"Nevertheless I tell you the truth: It is to your advantage that I go away, for if I don't go away, the Counselor won't come to you. But if I go, I will send him to you.",ܐܠܐ ܐܢܐ ܫܪܪܐ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܦܩܚ ܠܟܘܢ ܕܐܢܐ ܐܙܠ ܐܢ ܓܝܪ ܐܢܐ ܠܐ ܐܙܠ ܐܢܐ ܦܪܩܠܛܐ ܠܐ ܐܬܐ ܠܘܬܟܘܢ ܐܢ ܕܝܢ ܐܙܠ ܐܫܕܪܝܘܗܝ ܠܘܬܟܘܢ
"When he has come, he will convict the world about sin, about righteousness, and about judgment;",ܘܡܐ ܕܐܬܐ ܗܘ ܢܟܤܝܘܗܝ ܠܥܠܡܐ ܥܠ ܚܛܝܬܐ ܘܥܠ ܙܕܝܩܘܬܐ ܘܥܠ ܕܝܢܐ
"about sin, because they don't believe in me;",ܥܠ ܚܛܝܬܐ ܕܠܐ ܡܗܝܡܢܝܢ ܒܝ
"about righteousness, because I am going to my Father, and you won't see me any more;",ܥܠ ܙܕܝܩܘܬܐ ܕܝܢ ܕܠܘܬ ܐܒܝ ܐܙܠ ܐܢܐ ܘܠܐ ܬܘܒ ܚܙܝܢ ܐܢܬܘܢ ܠܝ
"about judgment, because the prince of this world has been judged.",ܥܠ ܕܝܢܐ ܕܝܢ ܕܐܪܟܘܢܐ ܕܥܠܡܐ ܗܢܐ ܕܝܢ ܗܘ
"""I have yet many things to tell you, but you can't bear them now.",ܬܘܒ ܤܓܝ ܐܝܬ ܠܝ ܠܡܐܡܪ ܠܟܘܢ ܐܠܐ ܠܐ ܡܫܟܚܝܢ ܐܢܬܘܢ ܠܡܐܚܕ ܗܫܐ
"However when he, the Spirit of truth, has come, he will guide you into all truth, for he will not speak from himself; but whatever he hears, he will speak. He will declare to you things that are coming.",ܡܐ ܕܐܬܐ ܕܝܢ ܪܘܚܐ ܕܫܪܪܐ ܗܘ ܢܕܒܪܟܘܢ ܒܟܠܗ ܫܪܪܐ ܠܐ ܓܝܪ ܢܡܠܠ ܡܢ ܪܥܝܢ ܢܦܫܗ ܐܠܐ ܟܠ ܕܢܫܡܥ ܗܘ ܢܡܠܠ ܘܥܬܝܕܬܐ ܢܘܕܥܟܘܢ
"He will glorify me, for he will take from what is mine, and will declare it to you.",ܘܗܘ ܢܫܒܚܢܝ ܡܛܠ ܕܡܢ ܕܝܠܝ ܢܤܒ ܘܢܚܘܝܟܘܢ
"All things whatever the Father has are mine; therefore I said that he takes of mine, and will declare it to you.",ܟܠ ܡܕܡ ܕܐܝܬ ܠܐܒܝ ܕܝܠܝ ܗܘ ܡܛܠ ܗܢܐ ܐܡܪܬ ܠܟܘܢ ܕܡܢ ܕܝܠܝ ܢܤܒ ܘܢܚܘܝܟܘܢ
"A little while, and you will not see me. Again a little while, and you will see me.""",ܩܠܝܠ ܘܠܐ ܬܚܙܘܢܢܝ ܘܬܘܒ ܩܠܝܠ ܘܬܚܙܘܢܢܝ ܕܐܙܠ ܐܢܐ ܠܘܬ ܐܒܐ
"Some of his disciples therefore said to one another, ""What is this that he says to us, 'A little while, and you won't see me, and again a little while, and you will see me;' and, 'Because I go to the Father?'""",ܘܐܡܪܘ ܗܘܘ ܬܠܡܝܕܘܗܝ ܚܕ ܠܚܕ ܡܢܐ ܗܝ ܗܕܐ ܕܐܡܪ ܠܢ ܕܩܠܝܠ ܘܠܐ ܬܚܙܘܢܢܝ ܘܬܘܒ ܩܠܝܠ ܘܬܚܙܘܢܢܝ ܘܕܐܙܠ ܐܢܐ ܠܘܬ ܐܒܝ
"They said therefore, ""What is this that he says, 'A little while?' We don't know what he is saying.""",ܘܐܡܪܝܢ ܗܘܘ ܡܢܐ ܗܝ ܗܕܐ ܩܠܝܠ ܕܐܡܪ ܠܐ ܝܕܥܝܢܢ ܡܢܐ ܡܡܠܠ
"Therefore Jesus perceived that they wanted to ask him, and he said to them, ""Do you inquire among yourselves concerning this, that I said, 'A little while, and you won't see me, and again a little while, and you will see me?'",ܝܫܘܥ ܕܝܢ ܝܕܥ ܕܒܥܝܢ ܗܘܘ ܠܡܫܐܠܘܬܗ ܘܐܡܪ ܠܗܘܢ ܥܠ ܗܕܐ ܒܥܝܢ ܐܢܬܘܢ ܥܡ ܚܕܕܐ ܕܐܡܪܬ ܠܟܘܢ ܕܩܠܝܠ ܘܠܐ ܬܚܙܘܢܢܝ ܘܬܘܒ ܩܠܝܠ ܘܬܚܙܘܢܢܝ
"Most certainly I tell you, that you will weep and lament, but the world will rejoice. You will be sorrowful, but your sorrow will be turned into joy.",ܐܡܝܢ ܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܬܒܟܘܢ ܐܢܬܘܢ ܘܬܐܠܘܢ ܘܥܠܡܐ ܢܚܕܐ ܘܠܟܘܢ ܬܟܪܐ ܐܠܐ ܟܪܝܘܬܟܘܢ ܠܚܕܘܬܐ ܬܗܘܐ
"A woman, when she gives birth, has sorrow, because her time has come. But when she has delivered the child, she doesn't remember the anguish any more, for the joy that a human being is born into the world.",ܐܢܬܬܐ ܡܐ ܕܝܠܕܐ ܟܪܝܐ ܠܗ ܕܡܛܐ ܝܘܡܐ ܕܡܘܠܕܗ ܡܐ ܕܝܠܕܬ ܕܝܢ ܒܪܐ ܠܐ ܥܗܕܐ ܐܘܠܨܢܗ ܡܛܠ ܚܕܘܬܐ ܕܐܬܝܠܕ ܒܪܢܫܐ ܒܥܠܡܐ
